Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	12/11/2023 	_x86_64_	(40 CPU)

09:01:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:02:06 AM  all    5.65    0.00   91.35    0.01    0.00    0.15    0.00    0.00    0.00    2.85
09:02:36 AM  all    4.32    0.00   95.34    0.00    0.00    0.11    0.00    0.00    0.00    0.23
09:03:06 AM  all    2.94    0.00   96.86    0.00    0.00    0.07    0.00    0.00    0.00    0.13
09:03:36 AM  all    4.07    0.00   94.79    0.00    0.00    0.12    0.00    0.00    0.00    1.03
09:04:06 AM  all    4.33    0.00   95.40    0.00    0.00    0.10    0.00    0.00    0.00    0.18
09:04:36 AM  all    4.48    0.00   95.19    0.00    0.00    0.12    0.00    0.00    0.00    0.22
09:05:06 AM  all    5.92    0.00   91.24    0.00    0.00    0.19    0.00    0.00    0.00    2.65
09:05:36 AM  all    6.29    0.00   91.13    0.00    0.00    0.27    0.00    0.00    0.00    2.30
09:06:06 AM  all    8.43    0.00   89.96    0.01    0.00    0.43    0.00    0.00    0.00    1.16
09:06:36 AM  all    6.96    0.00   92.45    0.00    0.00    0.27    0.00    0.00    0.00    0.33
09:07:06 AM  all    9.04    0.00   89.13    0.01    0.00    0.28    0.00    0.00    0.00    1.54
09:07:36 AM  all    6.09    0.00   93.53    0.00    0.00    0.14    0.00    0.00    0.00    0.24
09:08:06 AM  all    4.73    0.00   94.37    0.00    0.00    0.17    0.00    0.00    0.00    0.72
09:08:36 AM  all    7.53    0.00   90.73    0.01    0.00    0.29    0.00    0.00    0.00    1.43
09:09:06 AM  all    9.25    0.00   88.94    0.01    0.00    0.34    0.00    0.00    0.00    1.45
09:09:36 AM  all    8.02    0.00   91.03    0.01    0.00    0.30    0.00    0.00    0.00    0.64
09:10:06 AM  all   13.20    0.00   84.53    0.02    0.00    0.59    0.00    0.00    0.00    1.66
09:10:36 AM  all    8.80    0.00   89.16    0.01    0.00    0.46    0.00    0.00    0.00    1.56
09:11:06 AM  all   12.87    0.00   61.92    0.03    0.00    0.54    0.00    0.00    0.00   24.63
09:11:36 AM  all    7.35    0.00   83.08    0.02    0.00    0.19    0.00    0.00    0.00    9.36
09:12:06 AM  all    4.06    0.00   95.59    0.00    0.00    0.08    0.00    0.00    0.00    0.27
09:12:36 AM  all    3.50    0.00   96.15    0.00    0.00    0.11    0.00    0.00    0.00    0.23
09:13:06 AM  all    4.72    0.00   94.91    0.00    0.00    0.09    0.00    0.00    0.00    0.27
09:13:36 AM  all    5.16    0.00   94.41    0.00    0.00    0.15    0.00    0.00    0.00    0.28
Average:     all    6.57    0.00   90.91    0.01    0.00    0.23    0.00    0.00    0.00    2.29
