# started on Mon Nov 27 14:49:31 2023

#           time             counts unit events
   120.007253473        341,220,637      LLC-loads                                                     (50.01%)
   120.007253473         75,377,346      LLC-load-misses           #   22.09% of all LL-cache hits     (50.01%)
   120.007253473         89,896,879      LLC-stores                                                    (50.00%)
   120.007253473         34,733,613      LLC-store-misses                                              (50.00%)
   120.007253473    <not supported>      LLC-prefetch-misses                                         
   150.009119147        339,316,374      LLC-loads                                                     (50.00%)
   150.009119147         72,512,515      LLC-load-misses           #   21.31% of all LL-cache hits     (50.00%)
   150.009119147         89,805,894      LLC-stores                                                    (50.00%)
   150.009119147         34,042,005      LLC-store-misses                                              (50.00%)
   150.009119147    <not supported>      LLC-prefetch-misses                                         
   180.011080583        337,358,559      LLC-loads                                                     (50.00%)
   180.011080583         70,764,796      LLC-load-misses           #   20.86% of all LL-cache hits     (50.00%)
   180.011080583         89,788,357      LLC-stores                                                    (50.00%)
   180.011080583         33,360,710      LLC-store-misses                                              (50.00%)
   180.011080583    <not supported>      LLC-prefetch-misses                                         
   210.012867481        345,810,097      LLC-loads                                                     (50.00%)
   210.012867481         75,782,451      LLC-load-misses           #   22.23% of all LL-cache hits     (50.00%)
   210.012867481         91,624,230      LLC-stores                                                    (50.00%)
   210.012867481         34,356,194      LLC-store-misses                                              (50.00%)
   210.012867481    <not supported>      LLC-prefetch-misses                                         
   240.014559045        339,337,933      LLC-loads                                                     (50.00%)
   240.014559045         74,186,481      LLC-load-misses           #   21.78% of all LL-cache hits     (50.00%)
   240.014559045         88,847,342      LLC-stores                                                    (50.00%)
   240.014559045         34,692,978      LLC-store-misses                                              (50.00%)
   240.014559045    <not supported>      LLC-prefetch-misses                                         
   270.016249097        339,627,328      LLC-loads                                                     (50.00%)
   270.016249097         73,957,908      LLC-load-misses           #   21.72% of all LL-cache hits     (50.00%)
   270.016249097         88,984,614      LLC-stores                                                    (50.00%)
   270.016249097         34,775,441      LLC-store-misses                                              (50.00%)
   270.016249097    <not supported>      LLC-prefetch-misses                                         
   300.018094998        340,272,685      LLC-loads                                                     (50.01%)
   300.018094998         73,445,568      LLC-load-misses           #   21.57% of all LL-cache hits     (50.00%)
   300.018094998         90,208,427      LLC-stores                                                    (49.99%)
