# started on Wed Nov 22 15:34:50 2023

#           time             counts unit events
  1320.031200608      1,241,429,507      LLC-stores                                                    (50.00%)
  1320.031200608        478,061,600      LLC-store-misses                                              (50.00%)
  1320.031200608    <not supported>      LLC-prefetch-misses                                         
  1380.032687261      3,315,530,201      LLC-loads                                                     (50.00%)
  1380.032687261      1,105,899,214      LLC-load-misses           #   33.10% of all LL-cache hits     (50.00%)
  1380.032687261      1,239,063,519      LLC-stores                                                    (50.00%)
  1380.032687261        478,137,923      LLC-store-misses                                              (50.00%)
  1380.032687261    <not supported>      LLC-prefetch-misses                                         
  1440.034241519      3,311,993,274      LLC-loads                                                     (50.00%)
  1440.034241519      1,107,619,752      LLC-load-misses           #   33.17% of all LL-cache hits     (50.00%)
  1440.034241519      1,236,977,711      LLC-stores                                                    (50.00%)
  1440.034241519        478,585,729      LLC-store-misses                                              (50.00%)
  1440.034241519    <not supported>      LLC-prefetch-misses                                         
  1500.035761931      3,306,894,210      LLC-loads                                                     (50.00%)
  1500.035761931      1,107,906,438      LLC-load-misses           #   33.19% of all LL-cache hits     (50.00%)
  1500.035761931      1,238,379,561      LLC-stores                                                    (50.00%)
  1500.035761931        480,369,590      LLC-store-misses                                              (50.00%)
  1500.035761931    <not supported>      LLC-prefetch-misses                                         
  1560.037118089      3,314,229,769      LLC-loads                                                     (50.00%)
  1560.037118089      1,110,828,188      LLC-load-misses           #   33.29% of all LL-cache hits     (50.00%)
  1560.037118089      1,242,516,552      LLC-stores                                                    (50.00%)
  1560.037118089        482,334,603      LLC-store-misses                                              (50.00%)
  1560.037118089    <not supported>      LLC-prefetch-misses                                         
  1620.039688984      3,310,677,080      LLC-loads                                                     (50.00%)
  1620.039688984      1,106,101,102      LLC-load-misses           #   33.16% of all LL-cache hits     (50.00%)
  1620.039688984      1,238,342,052      LLC-stores                                                    (50.00%)
  1620.039688984        480,204,437      LLC-store-misses                                              (50.00%)
  1620.039688984    <not supported>      LLC-prefetch-misses                                         
