Linux 5.4.0-164-generic (node-0.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

05:14:32 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:15:32 AM  all   12.94    0.00   11.54    0.03    0.00    0.56    0.00    0.00    0.00   74.93
05:16:32 AM  all   33.19    0.00   13.55    0.07    0.00    0.45    0.00    0.00    0.00   52.74
05:17:32 AM  all   33.71    0.00   12.80    0.04    0.00    0.47    0.00    0.00    0.00   52.98
05:18:32 AM  all   33.00    0.00   12.77    0.03    0.00    0.49    0.00    0.00    0.00   53.71
05:19:32 AM  all   33.72    0.00   13.53    0.03    0.00    0.55    0.00    0.00    0.00   52.17
05:20:32 AM  all   27.35    0.00   12.98    0.03    0.00    0.57    0.00    0.00    0.00   59.06
05:21:32 AM  all   30.65    0.00   12.10    0.03    0.00    0.49    0.00    0.00    0.00   56.72
05:22:32 AM  all   31.52    0.00   12.01    0.03    0.00    0.53    0.00    0.00    0.00   55.91
05:23:32 AM  all   30.41    0.00   12.63    0.03    0.00    0.56    0.00    0.00    0.00   56.37
05:24:32 AM  all   33.76    0.00   11.96    0.03    0.00    0.51    0.00    0.00    0.00   53.74
05:25:32 AM  all   27.73    0.00   12.25    0.03    0.00    0.59    0.00    0.00    0.00   59.40
05:26:32 AM  all   25.93    0.00   11.73    0.02    0.00    0.56    0.00    0.00    0.00   61.76
Average:     all   29.49    0.00   12.49    0.03    0.00    0.53    0.00    0.00    0.00   57.47
