Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	12/12/2023 	_x86_64_	(40 CPU)

10:02:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:02:34 PM  all    8.33    0.00   75.63    0.00    0.00    0.52    0.00    0.00    0.00   15.52
10:03:04 PM  all    9.42    0.00   70.87    0.00    0.00    0.60    0.00    0.00    0.00   19.10
10:03:34 PM  all    8.03    0.00   77.01    0.00    0.00    0.53    0.00    0.00    0.00   14.42
10:04:04 PM  all    9.25    0.00   70.98    0.00    0.00    0.61    0.00    0.00    0.00   19.16
10:04:34 PM  all    8.12    0.00   77.01    0.00    0.00    0.53    0.00    0.00    0.00   14.35
10:05:04 PM  all    9.51    0.00   70.45    0.00    0.00    0.58    0.00    0.00    0.00   19.46
10:05:34 PM  all    7.92    0.00   77.49    0.01    0.00    0.49    0.00    0.00    0.00   14.09
10:06:04 PM  all    9.78    0.00   70.06    0.01    0.00    0.64    0.00    0.00    0.00   19.51
10:06:34 PM  all    7.97    0.00   77.09    0.00    0.00    0.52    0.00    0.00    0.00   14.42
10:07:04 PM  all    9.95    0.00   68.78    0.00    0.00    0.67    0.00    0.00    0.00   20.60
10:07:34 PM  all    7.34    0.00   79.26    0.00    0.00    0.47    0.00    0.00    0.00   12.93
10:08:04 PM  all   10.01    0.00   68.70    0.00    0.00    0.67    0.00    0.00    0.00   20.62
10:08:34 PM  all    8.02    0.00   76.87    0.00    0.00    0.52    0.00    0.00    0.00   14.59
10:09:04 PM  all    9.33    0.00   70.89    0.00    0.00    0.63    0.00    0.00    0.00   19.14
10:09:34 PM  all    7.78    0.00   77.81    0.00    0.00    0.47    0.00    0.00    0.00   13.94
10:10:04 PM  all    9.55    0.00   70.04    0.00    0.00    0.67    0.00    0.00    0.00   19.74
10:10:34 PM  all    7.38    0.00   79.27    0.00    0.00    0.47    0.00    0.00    0.00   12.88
10:11:04 PM  all   10.14    0.00   67.50    0.00    0.00    0.69    0.00    0.00    0.00   21.66
10:11:34 PM  all    6.90    0.00   80.49    0.00    0.00    0.45    0.00    0.00    0.00   12.15
10:12:04 PM  all    9.92    0.00   66.95    0.00    0.00    0.71    0.00    0.00    0.00   22.42
10:12:34 PM  all    7.27    0.00   79.97    0.00    0.00    0.45    0.00    0.00    0.00   12.31
10:13:04 PM  all   10.62    0.00   65.35    0.00    0.00    0.72    0.00    0.00    0.00   23.30
10:13:34 PM  all    6.58    0.00   81.53    0.00    0.00    0.43    0.00    0.00    0.00   11.45
10:14:04 PM  all   11.16    0.00   63.82    0.00    0.00    0.80    0.00    0.00    0.00   24.22
Average:     all    8.76    0.00   73.51    0.00    0.00    0.58    0.00    0.00    0.00   17.16
