Linux 5.4.0-164-generic (node-1.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/29/2024 	_x86_64_	(40 CPU)

03:00:55 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:01:55 AM  all   19.39    0.00   12.66    0.04    0.00    0.39    0.00    0.00    0.00   67.53
03:02:55 AM  all   55.53    0.00   14.63    0.08    0.00    0.55    0.00    0.00    0.00   29.20
03:03:55 AM  all   58.40    0.00   19.69    0.04    0.00    0.46    0.00    0.00    0.00   21.41
03:04:55 AM  all   63.09    0.00   18.96    0.04    0.00    0.47    0.00    0.00    0.00   17.44
03:05:55 AM  all   58.18    0.00   17.54    0.02    0.00    0.48    0.00    0.00    0.00   23.78
03:06:55 AM  all   50.35    0.00   14.98    0.05    0.00    0.67    0.00    0.00    0.00   33.96
03:07:55 AM  all   52.42    0.00   13.14    0.02    0.00    0.61    0.00    0.00    0.00   33.81
03:08:55 AM  all   59.73    0.00   18.49    0.03    0.00    0.52    0.00    0.00    0.00   21.23
03:09:55 AM  all   57.79    0.00   21.88    0.03    0.00    0.47    0.00    0.00    0.00   19.84
03:10:55 AM  all   58.34    0.00   17.53    0.03    0.00    0.53    0.00    0.00    0.00   23.56
03:11:55 AM  all   48.86    0.00   13.55    0.04    0.00    0.61    0.00    0.00    0.00   36.93
03:12:55 AM  all   51.79    0.00   13.85    0.03    0.00    0.66    0.00    0.00    0.00   33.67
Average:     all   52.82    0.00   16.41    0.04    0.00    0.53    0.00    0.00    0.00   30.19
