Linux 5.4.0-164-generic (node-0.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

05:45:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:46:30 AM  all   15.94    0.00   11.37    0.03    0.00    0.51    0.00    0.00    0.00   72.15
05:47:30 AM  all   35.38    0.00   13.26    0.07    0.00    0.47    0.00    0.00    0.00   50.82
05:48:30 AM  all   36.03    0.00   12.46    0.03    0.00    0.46    0.00    0.00    0.00   51.01
05:49:30 AM  all   35.73    0.00   12.70    0.03    0.00    0.47    0.00    0.00    0.00   51.06
05:50:30 AM  all   36.13    0.00   13.48    0.03    0.00    0.53    0.00    0.00    0.00   49.84
05:51:30 AM  all   30.00    0.00   12.71    0.03    0.00    0.52    0.00    0.00    0.00   56.75
05:52:30 AM  all   33.14    0.00   11.98    0.03    0.00    0.46    0.00    0.00    0.00   54.39
05:53:30 AM  all   34.21    0.00   12.05    0.03    0.00    0.48    0.00    0.00    0.00   53.22
05:54:30 AM  all   33.19    0.00   12.69    0.03    0.00    0.51    0.00    0.00    0.00   53.58
05:55:30 AM  all   36.11    0.00   11.90    0.03    0.00    0.51    0.00    0.00    0.00   51.45
05:56:30 AM  all   30.28    0.00   11.94    0.03    0.00    0.56    0.00    0.00    0.00   57.19
05:57:30 AM  all   28.77    0.00   11.81    0.03    0.00    0.56    0.00    0.00    0.00   58.83
Average:     all   32.07    0.00   12.36    0.03    0.00    0.50    0.00    0.00    0.00   55.03
