Linux 5.4.0-164-generic (node-1.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

08:42:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:43:40 AM  all   15.79    0.00   12.57    0.04    0.00    0.45    0.00    0.00    0.00   71.14
08:44:40 AM  all   49.32    0.00   14.43    0.09    0.00    0.55    0.00    0.00    0.00   35.61
08:45:40 AM  all   53.94    0.00   18.59    0.04    0.00    0.54    0.00    0.00    0.00   26.90
08:46:40 AM  all   58.16    0.00   20.76    0.03    0.00    0.46    0.00    0.00    0.00   20.60
08:47:40 AM  all   56.89    0.00   18.37    0.02    0.00    0.58    0.00    0.00    0.00   24.15
08:48:40 AM  all   44.40    0.00   14.77    0.04    0.00    0.68    0.00    0.00    0.00   40.11
08:49:40 AM  all   50.75    0.00   14.02    0.02    0.00    0.63    0.00    0.00    0.00   34.58
08:50:40 AM  all   58.49    0.00   20.18    0.04    0.00    0.44    0.00    0.00    0.00   20.85
08:51:40 AM  all   56.62    0.00   22.61    0.03    0.00    0.48    0.00    0.00    0.00   20.27
08:52:40 AM  all   57.05    0.00   18.52    0.03    0.00    0.56    0.00    0.00    0.00   23.84
08:53:40 AM  all   43.35    0.00   13.73    0.03    0.00    0.64    0.00    0.00    0.00   42.25
08:54:40 AM  all   47.36    0.00   14.15    0.03    0.00    0.68    0.00    0.00    0.00   37.77
Average:     all   49.34    0.00   16.90    0.04    0.00    0.56    0.00    0.00    0.00   33.17
