Linux 5.4.0-164-generic (node-0.llcperf.rperf-pg0.wisc.cloudlab.us) 	11/28/2023 	_x86_64_	(40 CPU)

01:36:58 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:37:28 AM  all    5.70    0.00    2.29    0.01    0.00    0.46    0.00    0.00    0.00   91.54
01:37:58 AM  all    5.86    0.00    2.34    0.01    0.00    0.46    0.00    0.00    0.00   91.34
01:38:28 AM  all    5.71    0.00    2.28    0.01    0.00    0.45    0.00    0.00    0.00   91.55
01:38:58 AM  all    5.86    0.00    2.27    0.01    0.00    0.45    0.00    0.00    0.00   91.41
01:39:28 AM  all    5.81    0.00    2.24    0.01    0.00    0.44    0.00    0.00    0.00   91.50
01:39:58 AM  all    5.73    0.00    2.26    0.00    0.00    0.47    0.00    0.00    0.00   91.54
01:40:28 AM  all    5.51    0.00    2.24    0.01    0.00    0.48    0.00    0.00    0.00   91.77
01:40:58 AM  all    5.94    0.00    2.23    0.01    0.00    0.47    0.00    0.00    0.00   91.35
01:41:28 AM  all    5.70    0.00    2.25    0.00    0.00    0.47    0.00    0.00    0.00   91.58
01:41:58 AM  all    5.72    0.00    2.28    0.01    0.00    0.46    0.00    0.00    0.00   91.53
01:42:28 AM  all    5.65    0.00    2.24    0.01    0.00    0.46    0.00    0.00    0.00   91.65
01:42:58 AM  all    5.65    0.00    2.25    0.00    0.00    0.46    0.00    0.00    0.00   91.63
01:43:28 AM  all    5.63    0.00    2.25    0.03    0.00    0.45    0.00    0.00    0.00   91.63
01:43:58 AM  all    5.70    0.00    2.27    0.00    0.00    0.46    0.00    0.00    0.00   91.58
01:44:28 AM  all    5.59    0.00    2.20    0.01    0.00    0.46    0.00    0.00    0.00   91.74
01:44:58 AM  all    5.51    0.00    2.22    0.01    0.00    0.46    0.00    0.00    0.00   91.81
01:45:28 AM  all    5.52    0.00    2.26    0.00    0.00    0.46    0.00    0.00    0.00   91.76
01:45:58 AM  all    5.65    0.00    2.21    0.01    0.00    0.48    0.00    0.00    0.00   91.66
01:46:28 AM  all    5.64    0.00    2.26    0.01    0.00    0.46    0.00    0.00    0.00   91.64
01:46:58 AM  all    5.48    0.00    2.22    0.01    0.00    0.47    0.00    0.00    0.00   91.83
01:47:28 AM  all    5.44    0.00    2.24    0.01    0.00    0.45    0.00    0.00    0.00   91.87
01:47:58 AM  all    5.47    0.00    2.24    0.00    0.00    0.45    0.00    0.00    0.00   91.84
01:48:28 AM  all    5.50    0.00    2.20    0.01    0.00    0.44    0.00    0.00    0.00   91.85
01:48:58 AM  all    5.40    0.00    2.20    0.01    0.00    0.46    0.00    0.00    0.00   91.92
Average:     all    5.64    0.00    2.25    0.01    0.00    0.46    0.00    0.00    0.00   91.65
