HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
486e10ac87f2c7495ab672094483c49e935e6f7e19b2b9b7157be7f9f949244c,28b9501460139b5543800fc102283243aefa5c7b9281d671b175f0df75055de2,d01f39bd08833e5f3c3b1f955d0b7ae61ae04b6aae9b6b73ab83365bb023ea3a,11467,153,78.0,113941.0,156,156,5854,8444,14015,92552,113941
3df2d7e9a4a7d86df29605a11cc1cdbfc9a8e442770bf7133411272fa14af2a5,6bd34ef0890d07c1d3e3b9606fd4c093a848f1ba317e8f8bea73b65dee2b3d34,d8cac41101e617767da2ec28631c97dcd9191dc52d9f09b9231370963c8d1fa4,112,24,64.0,558.0,64,64,70,83,99,558,558
7fc1d572a679c0c45cc792221490b05ed4daa9b02d76544bec3fe37ec193e357,34077f203c66d05b665f7b75c3a9a88f42262a942290789d3ea2a70e130923db,69993e160c269644c85aa093f163eec616dfe5a64dcabae3aa8f4712e01e314c,11324,44,4578.0,22143.0,4578,4578,8612,11160,14205,22143,22143
9a857b73685842dc829ab988745ab9cc5c94ceb94e2271ce415ba2c0ce1376c1,08396e62c7c6468d1995a3bc1a47d35d2598e31e28e0c8c8415edf334eb9f2ff,8be747e15a7d0384e43a34acc3cdac03bb1ab1d15036548ae613c0fca3e5897b,563,1440,4.0,6008.0,4,4,10,18,1006,3353,6008
61fe396dad65bcf451bdda447acf7816f00935d6511700e13515461243a65fff,2ee9709a085f4650128f073bce58f70896d2abaa77325c6ed60964f83bb8523b,c60517617b42d76d9279cf738f2f9dc1b90f6abe796a6071683af042e4d6718c,4268,23,1047.0,6799.0,1047,1047,3562,3942,5044,6799,6799
55d0c10a3893bbf45cc4689dd005089034de50b09461d6f18d8d7e3e78851c15,5627b4144160d068b106f29451147be36000d17367a530c7e7eb555b83bbf9e7,a568f67bda4fd55d10db79cc67145796bc6a6e324686a3cceccb391f7fb77243,1774,25,483.0,3517.0,483,483,1224,1767,2242,3517,3517
041a64c9b0d9c64fb5ed567c715a5b20508a52c5f9fbd2e17930b008c8e0e449,17a260f8e7adc2daf5cada10a532afdb79dfaed4b99584e9612e292c903d5e35,6ce1f5a5daed9602a24c3e10629e55544b34d6b818102b4f20cc0cc8353cfee9,667,48,477.0,1778.0,477,477,531,600,697,1778,1778
3d32f44990cb307aa856ac9523ac481b905a25430d5a0788fca927b53ffd06a9,0d3a1a637f0b18b284c4d1da7da49988acaff0133e539b51e3d9937c96c05361,1e417fb43f9a480e8ff71f7fc65284896b6db33ddea58232ed95a5f9971dba48,594,267,108.0,3884.0,207,207,302,425,556,3456,3884
ad893cdc0eb6237584899265481842207e5599256dc19bb733145833c348989b,3b91853d217d49d710d4297b3583e03e6aa73d70de6491dc30413cabd8395365,8c5bca5ebbaf5db60286087cb6dde6658bc06b16ba9a369bdbdca3719f454c3e,1015,102,0.0,22036.0,10,10,23,78,265,20057,22036
e84baab330a3efad7c92c24a14e1f685528af3afb233d52107d7f84fb6bbc2c2,f4cd9929055f5b2dbe8db83b66c841876c0eedb96dee9f9ac709d67c2b19e0b6,bd18a7f6869be3248bfd57a442dfa77e3e76e5fc0ce30d0e263c431dfac6b823,4777,1440,312.0,76411.0,312,4197,4391,4516,4677,6421,69088
7a1187c4554b67fce172b3922335b13c4cdf01879c1f9601c4674dad45a7d84c,af501def2ac8d8ebcd53ef8ce4f14ef389662679004a1d73474bb2e14c7f2c2e,1ce66e6065bb8e360abf3ff04e4113998df5ba7768f4729402e67d950bf6fc49,2838,144,46.0,25879.0,46,46,98,286,3158,25772,25879
e8413ff6a47e65ddb5307a8a7a0a0ee88e1e202591539d20c7142790dbfb2034,27df5c049a15aac613a2a2ecb51be5283c823f10830b5b9823a979904d6c7b6e,967498890269493226b4afa653c40a9e573597d41845f6b19d9df7d1638ea996,2717,204,995.0,178550.0,995,1000,1200,1418,1901,20770,178550
55d386950019a74bf8fb5be8446042933e2c7df1a820df40c1fe0b6ed79bd296,542be40f928cfe84f8128730563421265def80289332707fc1a7b5106b24a0cd,ef88483d45da28aa72032ca83c75da5dddf35ce336fbb012028a0f92e13b532b,453,37,32.0,1600.0,32,32,142,418,696,1588,1588
94afe0eadbdebdd531c507bbb7cd934e7f196e142bdaed8760897c75e679e490,ade4817cc1abddb56fe49adcd438b3b8377618153f76021fdad2e2958399bd1f,8eb29c775ced4ba8a0784d1ade9c2d27ff86803d853dc7e5315f86f68553061c,7,288,0.0,48.0,0,0,0,0,15,19,48
0fc82709b5c35f36196a23c95d189fba4a1f3eb5ab59cd10e5c2766513d31486,98fd6881064f030839050080d1f41a2b95826cbc6b06d04d35c6b9259af54d46,34a9d61a048c6fe41ea38f60b8561708092b02d5d883c9bb5dc8f7b19b60f588,2849,16455,1369.0,129049.0,1377,1615,2122,2434,3018,9031,52458
f7a12b3bfb61a8a5ec4de6688ede578c4eb3c8e0bcfac18a36b3a7c30edc6d41,23b3e6e732b9b1a5a88ead589e15f984488ff90c945fe67ff57b345ee9a8c358,55e92a842cbc488a3daba71e8bf885a6619a42d0a1bfcbbded0f3e5b15781e21,4,1350,0.0,31.0,0,0,0,0,15,19,31
592695356fd0f91993d9c62977f08ca5a91b290513ee6ab669bae0209e5ecadc,a984d023033d73446121c557becd918d434274a363f3a9f9766e82c291325a44,6a7addb4548e58d335e22774e3dc5effe7e88d09d87949fcba03e77112971c2b,347,1440,140.0,54002.0,140,171,234,280,343,755,54002
25f90d0cec69387fde8cb8163dafc78908da4cbe75c09140d66fb87c602a3b39,3b83bf00cabd4c1436a1f4c70efbe5f4547f7f7cec3cedf0bbc7d4ed1c86df40,9a5122e0eceb6c27d2280c71637464b013438b157f961205b2ee3d41f595d259,939,143,1.0,15803.0,1,1,8,14,982,8271,15803
fcb12e788e051ac8f6c2d0e46a2dbebdb51c8c9a47fb4fbb9a5b23c5433e02c6,f31cbc75c0dfdac47559538ba266a79251116980aea23fde8a973b794a9eef20,58a5ab1d16c4423228b5848c7379f9505fcd2808adb32eb5be2bf5f9d13e9e6d,1689,144,134.0,106470.0,134,136,236,618,1374,6222,106470
44f08e9072dd1cdcdf1f2dd74dee20bbf9ab281bd269b2aee863d42620724a5d,1d2e4ab0c2c1e27202357b8b8212b18ca2ca9781ee566e881e21865688a44d00,69258fdf19a34cdeb421837f9342c77684239c0d6ce15f68911ae1b8d67ba04d,25304,67,7525.0,87761.0,7663,7663,13576,20604,32899,87761,87761
d2e25e77f08555f93ebb056e07ca9642a476f60544bc72838c609b3f3a179123,871b48cb78a654a4f089aaeb1cc52b3254a2d5bcf90dbe8ff79b9ff5e9229cc5,9b7b837048ba33a15fc94bbf3ca06b144a81bf2e4c6c152886c46f63dcf0ed1b,237,2162,0.0,9844.0,13,109,172,208,253,632,9844
486e10ac87f2c7495ab672094483c49e935e6f7e19b2b9b7157be7f9f949244c,677e5dae147d2467c6491937d1a75e3720144557bf70e25f0dc4feac8911a07b,847320b3eac83f5990a5107116323b25620b88c0fd03bde58f1b1f2f831d48d1,84256,711,0.0,600043.0,31,265,26896,54614,107622,417456,600026
e9817055d9254d3969612e1d6ec5eb6004b457dc2815a37f6a629054411850eb,470a74d31747aadb36be5f3b347788215b7c4806e37371961330825fe9ff66f9,4ea800144a33f075a6db4d6c8bd31531a86ff46e8bd7fa002806d942e1794901,15365,95,12008.0,22712.0,12008,12008,14321,15162,16311,22712,22712
ccf6e16bca3e256c85de1b6f4c7149881c5e71256f8f71063708ded6d37cc7e6,3d3189d07f7e28ed9ebef660eee38d3de13c0b78ff8666f0eed097e7bac31ad4,eb1804b0fcd5145e7ca6370cc40d787f713972db257e91f11964bcf4ffcdffd9,498,32,94.0,3381.0,94,94,243,291,415,3381,3381
ccf6e16bca3e256c85de1b6f4c7149881c5e71256f8f71063708ded6d37cc7e6,3d3189d07f7e28ed9ebef660eee38d3de13c0b78ff8666f0eed097e7bac31ad4,4df00ac33093787a7240c25700911cacf6362bac7f1ccc3978e44bd02e79dd21,322,23,87.0,1127.0,87,87,167,182,268,1127,1127
aa352762771e104b718f1aab812cc097c62948df4809447249479968e20caf08,739d4b80e0262003b143a91120d77b95713b0198334cd4e8cc8c8a9c1c9c8403,eedb3c28a7bfd6f871cc8f7d11ee917c9832664d850d0d39e180f6c077a2fe44,387,15,124.0,913.0,124,124,187,300,499,913,913
f520c6bd4bd56a270f0e6c482b0a0337417b00b7eb636df47648e24117a43a77,8d789e85d1e1a0fc012b4a4af95b18740a19a925e4e3293b99f45e410b929772,fd1aed909452f3caa45dec6ffee8c7616f245db68574fd35642c70b62c2fa7a7,44453,46,5484.0,120725.0,5484,5484,8567,56773,69399,120725,120725
d02f9a321c861778dec6975d2590c7de4f734b9f2507b5a8b86f349cc60b2ca9,5feb8c3d3018cbbb7692e7685bb92f4cdd939b385a91336a09d26011352b9b0f,ce5ac25a91bbb2a8d141f5fad730f95b2562d323c52eb8a6d06562cfb0659e8c,10146,37,3279.0,20310.0,3279,3279,7355,11167,12972,20310,20310
7a1187c4554b67fce172b3922335b13c4cdf01879c1f9601c4674dad45a7d84c,af501def2ac8d8ebcd53ef8ce4f14ef389662679004a1d73474bb2e14c7f2c2e,42d3f6866adb63b9be61db0bedee90c550664358506792c3609ca63e7761baef,7330,24,1094.0,16512.0,1094,1094,3752,6812,11486,16512,16512
6ce54b229a56bbad98cf75b04f30e6623ab76ab696247e472eccf01f6c175e08,c34d0c4322d7e5378d97f6ffcc521ea52a54d943f5e0d15230534587b313ce87,96020ce832ac65abdb636ead73606a9e339efe4aaeb05b255d0fe8d136e52b33,60054,48,39715.0,141673.0,39715,39715,50949,53126,58400,141673,141673
7b0218fb9640d61415b8a66e50cb026117091a63e2a24af6c1f92e88367df081,e2545438198b25f2b80444d0e493d72d2833d5de2cad394b4b5d558e3491529e,2adba0fbccdec10311ef577273f12c6efc44b9c30fd6d413c756c9b18471a6df,365,48,32.0,2737.0,32,32,91,211,325,2737,2737
dbcfac5584f7acd4d3e1e3bc8bf5d1a44d0261ce7a3cf84837fd4313c06150e5,982d706f988d8d7a0d72141b0cd0f440d5d694abc0ced7cef2b6c8b23d587921,6c5cc5ee11964b17b37d950ea6007469deef5193d4aca7ea152fe5af816788e7,6662,48,4467.0,16689.0,4467,4467,5540,6159,6779,16689,16689
9a2092913aae123098134ac8cb0dbee9250d2596deccdb55bc357d248b84edfd,5acdfa2b4e0a6a5bbb022fb9c8cf0dc5c3931f0769e41130fcca4d402979e587,17272a0078fca38f30952a381215af3d2cc545677b3d47bcf6ca08643d3f32b8,62684,12,23115.0,177487.0,23115,23115,24755,27216,62924,177487,177487
399cf2b01189870a10f38f4b3715be9b68e7d7a1725ba4f4476be726beac653b,a460bd4004b0212ac55d1fb6f250674705b5eb8984a816952699d87c20722931,040671a98d6adef301311aa3eab7d3a9c048b8b9f8f91caa87d974c38d0b13b8,194096,48,141881.0,300115.0,141881,141881,168316,178810,188602,300115,300115
c370d57f736d4ffe1149d00771b12d42d0da0f8cf3a23e394f9f41fd4dda9785,ba39f2cf629cb7d096315bc681ff3a350a4283382483997121fa0b5c43de4ac4,c1f7ee8eebd92aa5d24da8dbb82c3ebaf75363675f588897e34ce60dcc610dc8,52721,24,33064.0,91314.0,33064,33064,36855,45065,66960,91314,91314
c29b067f56a6d928d81eac448c881eb1c90c7c173237d8ced82abbb1985db163,89215274afb403d34758fff5eff7f4a91cc55df57be8ff755d6d555c9a63ddad,c10c8aafac6cd824fa0de39eaf7bcaf1d5576e30a60b34318cc05a9ab903d255,10192,144,118.0,149884.0,118,120,137,238,14598,64402,149884
47f58d92827f16be8e51b9e0edc6bc77ffd1f5bb4d7d5d5f11c5bdd6e7435f8d,542a1aaface036fbea0c24b9c6934c27b1e2e947cc2609014e190fff8d7640f3,779df38d24a4e2875fe5554212c79d755ed5a16bb7cf73efc96d75382216dce7,17031,13,14265.0,27577.0,14265,14265,14830,16218,17701,27577,27577
ad893cdc0eb6237584899265481842207e5599256dc19bb733145833c348989b,ae6a0f8b865dd32a6090249337bc8d00bb1c5cfe960bc1083182d07b5059cb88,9fcc11278eeecf5703e214d581bd2fd9f950a2fcd28f654450d5deccdeb09066,41731,24,8297.0,69773.0,8297,8297,10505,64889,68386,69773,69773
613f258998afa293d9621eb8d57055c5b369b3181fce74c11cf017f52fb5f071,3a5dafc34e7020b2fa13607ec8d6b5a7dcb04663da8c44d40e5053230969f48b,120087088f2b076a86719d10e749ca8c2d597b6b675ad9977b94ebb98a4f6cea,304,147,19.0,2925.0,19,20,24,30,118,2293,2501
