# started on Tue Dec 12 13:36:25 2023

#           time             counts unit events
   600.048106095         62,226,545      LLC-load-misses           #   16.76% of all LL-cache hits     (59.99%)
   600.048106095         93,538,139      LLC-stores                                                    (39.98%)
   600.048106095         36,607,288      LLC-store-misses                                              (40.01%)
   600.048106095    <not supported>      LLC-prefetch-misses                                         
   630.050223370     47,453,928,042      instructions                                                  (59.99%)
   630.050223370        374,568,358      LLC-loads                                                     (60.02%)
   630.050223370         65,801,672      LLC-load-misses           #   17.71% of all LL-cache hits     (59.99%)
   630.050223370         92,210,766      LLC-stores                                                    (39.99%)
   630.050223370         36,475,492      LLC-store-misses                                              (40.01%)
   630.050223370    <not supported>      LLC-prefetch-misses                                         
   660.052376084     43,706,015,600      instructions                                                  (59.98%)
   660.052376084        370,259,313      LLC-loads                                                     (60.01%)
   660.052376084         61,324,680      LLC-load-misses           #   16.51% of all LL-cache hits     (60.00%)
   660.052376084         92,667,961      LLC-stores                                                    (39.99%)
   660.052376084         35,484,790      LLC-store-misses                                              (40.00%)
   660.052376084    <not supported>      LLC-prefetch-misses                                         
   690.056034406     46,054,562,771      instructions                                                  (59.98%)
   690.056034406        368,674,649      LLC-loads                                                     (60.01%)
   690.056034406         61,815,821      LLC-load-misses           #   16.65% of all LL-cache hits     (59.99%)
   690.056034406         94,654,266      LLC-stores                                                    (39.99%)
   690.056034406         36,182,138      LLC-store-misses                                              (40.01%)
   690.056034406    <not supported>      LLC-prefetch-misses                                         
   720.059012542     43,637,992,357      instructions                                                  (59.99%)
   720.059012542        366,108,946      LLC-loads                                                     (60.01%)
   720.059012542         59,869,879      LLC-load-misses           #   16.14% of all LL-cache hits     (59.99%)
   720.059012542         91,773,186      LLC-stores                                                    (39.99%)
   720.059012542         34,877,290      LLC-store-misses                                              (40.01%)
   720.059012542    <not supported>      LLC-prefetch-misses                                         
   750.062271058     43,921,977,485      instructions                                                  (59.99%)
   750.062271058        366,754,035      LLC-loads                                                     (60.02%)
   750.062271058         59,943,137      LLC-load-misses           #   16.16% of all LL-cache hits     (59.99%)
   750.062271058         92,021,836      LLC-stores                                                    (39.98%)
   750.062271058         35,258,801      LLC-store-misses                                              (40.01%)
   750.062271058    <not supported>      LLC-prefetch-misses                                         
   780.065108096     43,911,883,559      instructions                                                  (59.99%)
   780.065108096        365,684,823      LLC-loads                                                     (60.02%)
   780.065108096         61,055,714      LLC-load-misses           #   16.47% of all LL-cache hits     (59.99%)
   780.065108096         92,716,125      LLC-stores                                                    (39.98%)
   780.065108096         35,454,395      LLC-store-misses                                              (40.01%)
   780.065108096    <not supported>      LLC-prefetch-misses                                         
   810.067818798     44,912,861,962      instructions                                                  (59.99%)
   810.067818798        364,658,362      LLC-loads                                                     (60.02%)
   810.067818798         59,630,125      LLC-load-misses           #   16.10% of all LL-cache hits     (60.00%)
   810.067818798         92,150,135      LLC-stores                                                    (39.98%)
   810.067818798         35,414,918      LLC-store-misses                                              (40.00%)
   810.067818798    <not supported>      LLC-prefetch-misses                                         
