Linux 5.4.0-164-generic (node-1.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

02:49:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:50:41 AM  all   12.90    0.00    9.48    0.02    0.00    0.95    0.00    0.00    0.00   76.64
02:51:41 AM  all   13.67    0.00    9.62    0.02    0.00    0.93    0.00    0.00    0.00   75.76
02:52:41 AM  all   12.72    0.00    9.47    0.02    0.00    0.99    0.00    0.00    0.00   76.81
02:53:41 AM  all   12.30    0.00    9.17    0.02    0.00    0.98    0.00    0.00    0.00   77.54
02:54:41 AM  all   12.25    0.00    9.16    0.01    0.00    1.03    0.00    0.00    0.00   77.55
02:55:41 AM  all   13.00    0.00    9.48    0.02    0.00    0.96    0.00    0.00    0.00   76.54
02:56:41 AM  all   12.35    0.00    9.27    0.01    0.00    1.01    0.00    0.00    0.00   77.35
02:57:41 AM  all   12.62    0.00    9.46    0.02    0.00    1.05    0.00    0.00    0.00   76.86
02:58:41 AM  all   12.31    0.00    9.26    0.02    0.00    1.05    0.00    0.00    0.00   77.37
02:59:41 AM  all   12.06    0.00    9.21    0.02    0.00    1.03    0.00    0.00    0.00   77.68
03:00:41 AM  all   12.24    0.00    9.19    0.02    0.00    1.03    0.00    0.00    0.00   77.53
03:01:41 AM  all   13.21    0.00    9.47    0.02    0.00    1.00    0.00    0.00    0.00   76.31
Average:     all   12.63    0.00    9.35    0.02    0.00    1.00    0.00    0.00    0.00   77.00
