Linux 5.4.0-164-generic (node-0.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

11:57:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:58:14 PM  all   17.48    0.00   10.90    0.05    0.00    0.48    0.00    0.00    0.00   71.10
11:59:14 PM  all   53.62    0.00   13.45    0.07    0.00    0.57    0.00    0.00    0.00   32.28
12:00:14 AM  all   58.35    0.02   18.97    0.04    0.00    0.40    0.00    0.00    0.00   22.23
12:01:14 AM  all   61.48    0.00   19.03    0.03    0.00    0.49    0.00    0.00    0.00   18.98
12:02:14 AM  all   56.04    0.00   17.11    0.02    0.00    0.54    0.00    0.00    0.00   26.28
12:03:14 AM  all   48.96    0.00   13.97    0.04    0.00    0.70    0.00    0.00    0.00   36.34
12:04:14 AM  all   50.61    0.00   12.37    0.02    0.00    0.62    0.00    0.00    0.00   36.37
12:05:14 AM  all   61.20    0.00   18.53    0.04    0.00    0.48    0.00    0.00    0.00   19.75
12:06:14 AM  all   58.20    0.00   21.52    0.02    0.00    0.44    0.00    0.00    0.00   19.82
12:07:14 AM  all   56.16    0.00   16.76    0.03    0.00    0.54    0.00    0.00    0.00   26.50
12:08:14 AM  all   48.63    0.00   13.24    0.03    0.00    0.68    0.00    0.00    0.00   37.43
12:09:14 AM  all   47.09    0.00   12.62    0.03    0.00    0.62    0.00    0.00    0.00   39.64
Average:     all   51.48    0.00   15.71    0.03    0.00    0.55    0.00    0.00    0.00   32.23
