Linux 5.4.0-164-generic (node-0.llcperf-onenode.rperf-pg0.wisc.cloudlab.us) 	12/11/2023 	_x86_64_	(40 CPU)

07:56:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:57:19 AM  all   24.22    0.00   10.86    0.01    0.00    2.84    0.00    0.00    0.00   62.08
07:57:49 AM  all   24.14    0.00   10.77    0.01    0.00    2.82    0.00    0.00    0.00   62.26
07:58:19 AM  all   24.08    0.00   10.83    0.01    0.00    2.83    0.00    0.00    0.00   62.24
07:58:49 AM  all   24.21    0.00   10.74    0.01    0.00    2.84    0.00    0.00    0.00   62.20
07:59:19 AM  all   23.99    0.00   10.73    0.01    0.00    2.84    0.00    0.00    0.00   62.44
07:59:49 AM  all   24.08    0.00   10.70    0.01    0.00    2.85    0.00    0.00    0.00   62.36
08:00:19 AM  all   23.98    0.00   10.78    0.00    0.00    2.88    0.00    0.00    0.00   62.36
08:00:49 AM  all   23.93    0.00   10.75    0.01    0.00    2.84    0.00    0.00    0.00   62.47
08:01:19 AM  all   23.97    0.00   10.78    0.01    0.00    2.92    0.00    0.00    0.00   62.31
08:01:49 AM  all   23.78    0.00   10.79    0.00    0.00    2.85    0.00    0.00    0.00   62.57
08:02:19 AM  all   24.00    0.00   10.83    0.01    0.00    2.78    0.00    0.00    0.00   62.38
08:02:49 AM  all   24.04    0.00   10.77    0.01    0.00    2.84    0.00    0.00    0.00   62.34
08:03:19 AM  all   24.03    0.00   10.80    0.01    0.00    2.78    0.00    0.00    0.00   62.38
08:03:49 AM  all   23.91    0.00   10.73    0.01    0.00    2.84    0.00    0.00    0.00   62.51
08:04:19 AM  all   24.00    0.00   10.76    0.01    0.00    2.81    0.00    0.00    0.00   62.41
08:04:49 AM  all   23.87    0.00   10.87    0.01    0.00    2.78    0.00    0.00    0.00   62.47
08:05:19 AM  all   23.86    0.00   10.78    0.01    0.00    2.86    0.00    0.00    0.00   62.50
08:05:49 AM  all   23.91    0.00   10.91    0.01    0.00    2.84    0.00    0.00    0.00   62.33
08:06:19 AM  all   23.60    0.00   10.27    0.02    0.00    2.58    0.00    0.00    0.00   63.53
08:06:49 AM  all   16.02    0.00    5.21    0.02    0.00    0.93    0.00    0.00    0.00   77.83
08:07:19 AM  all   18.28    0.00    6.08    0.03    0.00    0.91    0.00    0.00    0.00   74.70
08:07:49 AM  all   23.04    0.00   11.85    0.03    0.00    2.25    0.00    0.00    0.00   62.84
08:08:19 AM  all   20.80    0.00   11.02    0.01    0.00    2.40    0.00    0.00    0.00   65.77
08:08:49 AM  all   24.73    0.00   11.91    0.02    0.00    2.79    0.00    0.00    0.00   60.54
Average:     all   23.26    0.00   10.43    0.01    0.00    2.62    0.00    0.00    0.00   63.67
