# started on Tue Dec 12 20:34:21 2023

#           time             counts unit events
   600.070712986         32,984,186      LLC-load-misses           #   17.34% of all LL-cache hits     (60.00%)
   600.070712986         48,505,736      LLC-stores                                                    (40.00%)
   600.070712986         18,607,127      LLC-store-misses                                              (40.00%)
   600.070712986    <not supported>      LLC-prefetch-misses                                         
   630.074720536     22,398,703,770      instructions                                                  (59.99%)
   630.074720536        187,424,253      LLC-loads                                                     (60.00%)
   630.074720536         34,256,990      LLC-load-misses           #   18.02% of all LL-cache hits     (60.00%)
   630.074720536         49,129,520      LLC-stores                                                    (40.01%)
   630.074720536         18,150,809      LLC-store-misses                                              (40.00%)
   630.074720536    <not supported>      LLC-prefetch-misses                                         
   660.078566304     22,526,764,821      instructions                                                  (59.99%)
   660.078566304        185,940,244      LLC-loads                                                     (59.99%)
   660.078566304         34,225,622      LLC-load-misses           #   18.03% of all LL-cache hits     (59.99%)
   660.078566304         48,881,064      LLC-stores                                                    (40.01%)
   660.078566304         18,434,318      LLC-store-misses                                              (40.01%)
   660.078566304    <not supported>      LLC-prefetch-misses                                         
   690.082406316     25,123,821,499      instructions                                                  (60.00%)
   690.082406316        188,110,693      LLC-loads                                                     (60.00%)
   690.082406316         33,667,523      LLC-load-misses           #   17.74% of all LL-cache hits     (59.99%)
   690.082406316         50,511,770      LLC-stores                                                    (39.99%)
   690.082406316         20,488,780      LLC-store-misses                                              (40.01%)
   690.082406316    <not supported>      LLC-prefetch-misses                                         
   720.086844543     23,109,310,648      instructions                                                  (60.00%)
   720.086844543        191,546,303      LLC-loads                                                     (60.01%)
   720.086844543         38,093,324      LLC-load-misses           #   20.07% of all LL-cache hits     (60.00%)
   720.086844543         49,493,381      LLC-stores                                                    (39.99%)
   720.086844543         18,434,290      LLC-store-misses                                              (40.00%)
   720.086844543    <not supported>      LLC-prefetch-misses                                         
   750.090859164     24,011,952,988      instructions                                                  (60.00%)
   750.090859164        189,432,890      LLC-loads                                                     (60.01%)
   750.090859164         35,343,555      LLC-load-misses           #   18.62% of all LL-cache hits     (60.00%)
   750.090859164         49,800,934      LLC-stores                                                    (40.00%)
   750.090859164         18,529,474      LLC-store-misses                                              (40.00%)
   750.090859164    <not supported>      LLC-prefetch-misses                                         
   780.094722079     22,291,460,890      instructions                                                  (59.99%)
   780.094722079        187,614,149      LLC-loads                                                     (60.00%)
   780.094722079         33,545,854      LLC-load-misses           #   17.68% of all LL-cache hits     (60.00%)
   780.094722079         48,635,559      LLC-stores                                                    (40.01%)
   780.094722079         18,073,772      LLC-store-misses                                              (40.00%)
   780.094722079    <not supported>      LLC-prefetch-misses                                         
   810.098581603     21,864,552,992      instructions                                                  (59.99%)
   810.098581603        183,949,526      LLC-loads                                                     (59.99%)
   810.098581603         32,039,220      LLC-load-misses           #   16.91% of all LL-cache hits     (59.99%)
   810.098581603         47,631,780      LLC-stores                                                    (40.01%)
   810.098581603         17,962,437      LLC-store-misses                                              (40.01%)
   810.098581603    <not supported>      LLC-prefetch-misses                                         
