Linux 5.4.0-164-generic (node-3.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

11:23:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:23 AM  all   14.62    0.00   12.72    0.04    0.00    0.43    0.00    0.00    0.00   72.18
11:25:23 AM  all   50.73    0.00   14.96    0.07    0.00    0.56    0.00    0.00    0.00   33.68
11:26:23 AM  all   56.96    0.00   20.91    0.04    0.00    0.46    0.00    0.00    0.00   21.62
11:27:23 AM  all   60.74    0.00   20.35    0.03    0.00    0.48    0.00    0.00    0.00   18.40
11:28:23 AM  all   55.61    0.00   18.37    0.03    0.00    0.52    0.00    0.00    0.00   25.47
11:29:23 AM  all   48.13    0.00   15.22    0.04    0.00    0.68    0.00    0.00    0.00   35.94
11:30:23 AM  all   49.26    0.00   13.59    0.03    0.00    0.61    0.00    0.00    0.00   36.52
11:31:23 AM  all   56.45    0.00   19.00    0.03    0.00    0.51    0.00    0.00    0.00   24.00
11:32:23 AM  all   55.54    0.00   23.13    0.03    0.00    0.48    0.00    0.00    0.00   20.82
11:33:23 AM  all   54.55    0.00   17.63    0.03    0.00    0.62    0.00    0.00    0.00   27.16
11:34:23 AM  all   46.64    0.00   14.45    0.05    0.00    0.68    0.00    0.00    0.00   38.18
11:35:23 AM  all   45.73    0.00   13.81    0.03    0.00    0.66    0.00    0.00    0.00   39.77
Average:     all   49.58    0.00   17.02    0.04    0.00    0.56    0.00    0.00    0.00   32.80
