# started on Wed Nov 22 17:05:03 2023

#           time             counts unit events
  1200.024728783     33,216,833,236      LLC-loads                                                     (50.00%)
  1200.024728783      4,297,334,052      LLC-load-misses           #   13.80% of all LL-cache hits     (50.00%)
  1200.024728783     10,559,227,615      LLC-stores                                                    (50.00%)
  1200.024728783      4,140,235,138      LLC-store-misses                                              (50.00%)
  1200.024728783    <not supported>      LLC-prefetch-misses                                         
  1260.025525740     33,279,628,415      LLC-loads                                                     (50.00%)
  1260.025525740      4,221,896,450      LLC-load-misses           #   13.50% of all LL-cache hits     (50.00%)
  1260.025525740     10,795,513,015      LLC-stores                                                    (50.00%)
  1260.025525740      4,216,084,589      LLC-store-misses                                              (50.00%)
  1260.025525740    <not supported>      LLC-prefetch-misses                                         
  1320.026312789     33,163,441,250      LLC-loads                                                     (50.00%)
  1320.026312789      4,223,668,491      LLC-load-misses           #   13.47% of all LL-cache hits     (50.00%)
  1320.026312789     11,005,690,364      LLC-stores                                                    (50.00%)
  1320.026312789      4,241,035,860      LLC-store-misses                                              (50.00%)
  1320.026312789    <not supported>      LLC-prefetch-misses                                         
  1380.027073718     33,729,028,898      LLC-loads                                                     (50.00%)
  1380.027073718      4,239,160,113      LLC-load-misses           #   13.47% of all LL-cache hits     (50.00%)
  1380.027073718     10,945,491,598      LLC-stores                                                    (50.00%)
  1380.027073718      4,253,685,225      LLC-store-misses                                              (50.00%)
  1380.027073718    <not supported>      LLC-prefetch-misses                                         
  1440.027825532     34,165,399,155      LLC-loads                                                     (50.00%)
  1440.027825532      4,216,895,088      LLC-load-misses           #   13.34% of all LL-cache hits     (50.00%)
  1440.027825532     11,353,301,184      LLC-stores                                                    (50.00%)
  1440.027825532      4,388,515,950      LLC-store-misses                                              (50.00%)
  1440.027825532    <not supported>      LLC-prefetch-misses                                         
  1500.028587835     22,897,456,295      LLC-loads                                                     (50.00%)
  1500.028587835      3,155,662,680      LLC-load-misses           #   10.11% of all LL-cache hits     (50.00%)
  1500.028587835      7,865,151,476      LLC-stores                                                    (50.00%)
  1500.028587835      2,959,979,198      LLC-store-misses                                              (50.00%)
  1500.028587835    <not supported>      LLC-prefetch-misses                                         
  1560.029364858     33,405,788,161      LLC-loads                                                     (50.00%)
  1560.029364858      4,328,798,691      LLC-load-misses           #   13.83% of all LL-cache hits     (50.00%)
  1560.029364858     11,956,412,425      LLC-stores                                                    (50.00%)
  1560.029364858      4,718,042,449      LLC-store-misses                                              (50.00%)
  1560.029364858    <not supported>      LLC-prefetch-misses                                         
  1620.030178111     27,955,899,025      LLC-loads                                                     (50.00%)
  1620.030178111      4,485,264,235      LLC-load-misses           #   14.39% of all LL-cache hits     (50.00%)
  1620.030178111     11,627,926,181      LLC-stores                                                    (50.00%)
  1620.030178111      4,495,057,360      LLC-store-misses                                              (50.00%)
  1620.030178111    <not supported>      LLC-prefetch-misses                                         
