Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/29/2024 	_x86_64_	(40 CPU)

02:48:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:49:28 AM  all   24.95    0.00   16.26    0.04    0.00    0.26    0.00    0.00    0.00   58.49
02:50:28 AM  all   55.69    0.00   15.67    0.07    0.00    0.59    0.00    0.00    0.00   27.98
02:51:28 AM  all   57.49    0.00   19.91    0.04    0.00    0.48    0.00    0.00    0.00   22.07
02:52:28 AM  all   60.11    0.00   20.50    0.03    0.00    0.54    0.00    0.00    0.00   18.83
02:53:28 AM  all   56.23    0.00   18.55    0.03    0.00    0.55    0.00    0.00    0.00   24.64
02:54:28 AM  all   50.97    0.00   17.37    0.04    0.00    0.71    0.00    0.00    0.00   30.91
02:55:28 AM  all   52.11    0.00   15.54    0.02    0.00    0.60    0.00    0.00    0.00   31.73
02:56:28 AM  all   57.39    0.00   21.01    0.03    0.00    0.49    0.00    0.00    0.00   21.08
02:57:28 AM  all   56.78    0.00   22.64    0.03    0.00    0.49    0.00    0.00    0.00   20.06
02:58:28 AM  all   57.05    0.00   19.63    0.03    0.00    0.54    0.00    0.00    0.00   22.75
02:59:28 AM  all   50.05    0.00   16.19    0.04    0.00    0.63    0.00    0.00    0.00   33.09
03:00:28 AM  all   49.27    0.00   16.16    0.03    0.00    0.61    0.00    0.00    0.00   33.93
Average:     all   52.35    0.00   18.29    0.04    0.00    0.54    0.00    0.00    0.00   28.78
