# started on Tue Dec 12 22:43:41 2023

#           time             counts unit events
   120.002916472    925,983,266,731      instructions                                                  (60.00%)
   120.002916472     14,604,915,449      LLC-loads                                                     (60.00%)
   120.002916472      1,259,949,464      LLC-load-misses           #    8.63% of all LL-cache hits     (60.00%)
   120.002916472      4,696,455,453      LLC-stores                                                    (40.00%)
   120.002916472      1,903,692,719      LLC-store-misses                                              (40.00%)
   120.002916472    <not supported>      LLC-prefetch-misses                                         
   150.003965919    901,538,294,379      instructions                                                  (60.00%)
   150.003965919     14,100,531,641      LLC-loads                                                     (60.00%)
   150.003965919      1,264,291,070      LLC-load-misses           #    8.81% of all LL-cache hits     (60.00%)
   150.003965919      4,461,424,823      LLC-stores                                                    (40.00%)
   150.003965919      1,816,670,617      LLC-store-misses                                              (40.00%)
   150.003965919    <not supported>      LLC-prefetch-misses                                         
   180.005034952    930,691,014,434      instructions                                                  (60.00%)
   180.005034952     14,731,236,920      LLC-loads                                                     (60.00%)
   180.005034952      1,249,157,124      LLC-load-misses           #    8.63% of all LL-cache hits     (60.00%)
   180.005034952      4,753,194,586      LLC-stores                                                    (40.00%)
   180.005034952      1,922,520,575      LLC-store-misses                                              (40.00%)
   180.005034952    <not supported>      LLC-prefetch-misses                                         
   210.005861267    913,052,890,583      instructions                                                  (60.00%)
   210.005861267     14,480,359,643      LLC-loads                                                     (60.00%)
   210.005861267      1,310,831,050      LLC-load-misses           #    9.05% of all LL-cache hits     (60.00%)
   210.005861267      4,490,764,697      LLC-stores                                                    (40.00%)
   210.005861267      1,836,323,773      LLC-store-misses                                              (40.00%)
   210.005861267    <not supported>      LLC-prefetch-misses                                         
   240.006711851    919,589,434,139      instructions                                                  (60.00%)
   240.006711851     14,459,284,858      LLC-loads                                                     (60.00%)
   240.006711851      1,220,001,101      LLC-load-misses           #    8.43% of all LL-cache hits     (60.00%)
   240.006711851      4,676,230,710      LLC-stores                                                    (40.00%)
   240.006711851      1,897,021,426      LLC-store-misses                                              (40.00%)
   240.006711851    <not supported>      LLC-prefetch-misses                                         
   270.007567069    922,795,911,909      instructions                                                  (60.00%)
   270.007567069     14,713,661,311      LLC-loads                                                     (60.00%)
   270.007567069      1,290,036,341      LLC-load-misses           #    8.89% of all LL-cache hits     (60.00%)
   270.007567069      4,563,199,933      LLC-stores                                                    (40.00%)
   270.007567069      1,888,855,592      LLC-store-misses                                              (40.00%)
   270.007567069    <not supported>      LLC-prefetch-misses                                         
   300.008490672    910,356,705,926      instructions                                                  (60.00%)
   300.008490672     14,210,441,481      LLC-loads                                                     (60.00%)
   300.008490672      1,197,304,040      LLC-load-misses           #    8.27% of all LL-cache hits     (60.00%)
   300.008490672      4,584,702,243      LLC-stores                                                    (40.00%)
   300.008490672      1,863,625,275      LLC-store-misses                                              (40.00%)
   300.008490672    <not supported>      LLC-prefetch-misses                                         
   330.009369551    933,915,995,816      instructions                                                  (60.00%)
   330.009369551     15,062,585,045      LLC-loads                                                     (60.00%)
   330.009369551      1,298,432,673      LLC-load-misses           #    8.93% of all LL-cache hits     (60.00%)
   330.009369551      4,644,698,515      LLC-stores                                                    (40.00%)
   330.009369551      1,914,901,059      LLC-store-misses                                              (40.00%)
   330.009369551    <not supported>      LLC-prefetch-misses                                         
   360.010241615    898,189,740,345      instructions                                                  (60.00%)
   360.010241615     13,889,901,292      LLC-loads                                                     (60.00%)
   360.010241615      1,184,673,859      LLC-load-misses           #    8.19% of all LL-cache hits     (60.00%)
   360.010241615      4,542,527,360      LLC-stores                                                    (40.00%)
   360.010241615      1,830,213,212      LLC-store-misses                                              (40.00%)
   360.010241615    <not supported>      LLC-prefetch-misses                                         
   390.011104065    943,565,790,463      instructions                                                  (60.00%)
   390.011104065     15,213,984,767      LLC-loads                                                     (60.00%)
