Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/29/2024 	_x86_64_	(40 CPU)

01:21:57 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:22:57 AM  all   14.91    0.00   11.66    0.04    0.00    0.52    0.00    0.00    0.00   72.88
01:23:57 AM  all   50.25    0.00   13.96    0.07    0.00    0.58    0.00    0.00    0.00   35.13
01:24:57 AM  all   57.27    0.00   19.06    0.04    0.00    0.54    0.00    0.00    0.00   23.09
01:25:57 AM  all   59.04    0.00   20.00    0.04    0.00    0.50    0.00    0.00    0.00   20.43
01:26:57 AM  all   53.85    0.00   17.67    0.03    0.00    0.55    0.00    0.00    0.00   27.91
01:27:57 AM  all   45.77    0.00   14.64    0.03    0.00    0.72    0.00    0.00    0.00   38.84
01:28:57 AM  all   48.38    0.00   12.87    0.02    0.00    0.65    0.00    0.00    0.00   38.08
01:29:57 AM  all   59.72    0.00   19.63    0.03    0.00    0.47    0.00    0.00    0.00   20.15
01:30:57 AM  all   56.29    0.00   22.25    0.03    0.00    0.46    0.00    0.00    0.00   20.98
01:31:57 AM  all   54.62    0.00   16.84    0.03    0.00    0.61    0.00    0.00    0.00   27.90
01:32:57 AM  all   43.11    0.00   13.38    0.03    0.00    0.66    0.00    0.00    0.00   42.83
01:33:57 AM  all   45.98    0.00   13.24    0.03    0.00    0.69    0.00    0.00    0.00   40.05
Average:     all   49.09    0.00   16.27    0.04    0.00    0.58    0.00    0.00    0.00   34.02
