Linux 5.4.0-164-generic (node-2.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

10:05:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:06:36 AM  all   17.89    0.00   13.02    0.05    0.00    0.45    0.00    0.00    0.00   68.58
10:07:36 AM  all   54.84    0.00   14.92    0.06    0.00    0.59    0.00    0.00    0.00   29.58
10:08:36 AM  all   56.40    0.00   19.83    0.04    0.00    0.48    0.00    0.00    0.00   23.25
10:09:36 AM  all   61.20    0.00   19.61    0.03    0.00    0.50    0.00    0.00    0.00   18.66
10:10:36 AM  all   55.61    0.00   17.57    0.03    0.00    0.55    0.00    0.00    0.00   26.24
10:11:36 AM  all   47.63    0.00   15.44    0.04    0.00    0.68    0.00    0.00    0.00   36.21
10:12:36 AM  all   50.61    0.00   13.37    0.03    0.00    0.61    0.00    0.00    0.00   35.38
10:13:36 AM  all   58.60    0.00   19.77    0.03    0.00    0.50    0.00    0.00    0.00   21.10
10:14:36 AM  all   55.99    0.00   22.58    0.03    0.00    0.43    0.00    0.00    0.00   20.96
10:15:36 AM  all   56.46    0.00   18.47    0.03    0.00    0.50    0.00    0.00    0.00   24.53
10:16:36 AM  all   47.22    0.00   14.23    0.04    0.00    0.64    0.00    0.00    0.00   37.86
10:17:36 AM  all   46.71    0.00   13.67    0.03    0.00    0.61    0.00    0.00    0.00   38.97
Average:     all   50.76    0.00   16.88    0.04    0.00    0.55    0.00    0.00    0.00   31.77
