Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/28/2024 	_x86_64_	(40 CPU)

06:42:21 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:43:21 PM  all    9.98    0.00    8.04    0.02    0.00    0.89    0.00    0.00    0.00   81.08
06:44:21 PM  all   10.82    0.00    8.31    0.02    0.00    0.90    0.00    0.00    0.00   79.95
06:45:21 PM  all   10.73    0.00    8.16    0.03    0.00    0.90    0.00    0.00    0.00   80.18
06:46:21 PM  all    9.78    0.00    8.11    0.02    0.00    0.93    0.00    0.00    0.00   81.16
06:47:21 PM  all    9.29    0.00    7.90    0.02    0.00    0.91    0.00    0.00    0.00   81.88
06:48:21 PM  all   11.18    0.00    8.32    0.02    0.00    0.92    0.00    0.00    0.00   79.57
06:49:21 PM  all    9.66    0.00    8.09    0.02    0.00    0.95    0.00    0.00    0.00   81.28
06:50:21 PM  all   10.73    0.00    8.46    0.02    0.00    0.89    0.00    0.00    0.00   79.90
06:51:21 PM  all    9.78    0.00    8.28    0.02    0.00    0.88    0.00    0.00    0.00   81.04
06:52:21 PM  all    9.42    0.00    8.10    0.01    0.00    0.87    0.00    0.00    0.00   81.60
06:53:21 PM  all    9.54    0.00    8.11    0.02    0.00    0.85    0.00    0.00    0.00   81.49
06:54:21 PM  all   11.26    0.00    8.53    0.02    0.00    0.85    0.00    0.00    0.00   79.33
Average:     all   10.18    0.00    8.20    0.02    0.00    0.90    0.00    0.00    0.00   80.71
