# started on Wed Nov 22 17:35:08 2023

#           time             counts unit events
  1200.014277381     27,218,167,379      LLC-loads                                                     (50.00%)
  1200.014277381      4,957,387,496      LLC-load-misses           #   15.10% of all LL-cache hits     (50.00%)
  1200.014277381     12,174,961,387      LLC-stores                                                    (50.00%)
  1200.014277381      4,730,612,521      LLC-store-misses                                              (50.00%)
  1200.014277381    <not supported>      LLC-prefetch-misses                                         
  1260.015026638     27,200,798,362      LLC-loads                                                     (50.00%)
  1260.015026638      4,969,044,668      LLC-load-misses           #   15.28% of all LL-cache hits     (50.00%)
  1260.015026638     12,178,797,531      LLC-stores                                                    (50.00%)
  1260.015026638      4,732,304,981      LLC-store-misses                                              (50.00%)
  1260.015026638    <not supported>      LLC-prefetch-misses                                         
  1320.015760942     27,155,920,516      LLC-loads                                                     (50.00%)
  1320.015760942      4,996,826,908      LLC-load-misses           #   15.50% of all LL-cache hits     (50.00%)
  1320.015760942     12,068,228,758      LLC-stores                                                    (50.00%)
  1320.015760942      4,681,989,266      LLC-store-misses                                              (50.00%)
  1320.015760942    <not supported>      LLC-prefetch-misses                                         
  1380.016503759     29,277,889,258      LLC-loads                                                     (50.00%)
  1380.016503759      4,528,610,887      LLC-load-misses           #   14.11% of all LL-cache hits     (50.00%)
  1380.016503759     12,036,107,192      LLC-stores                                                    (50.00%)
  1380.016503759      4,661,221,547      LLC-store-misses                                              (50.00%)
  1380.016503759    <not supported>      LLC-prefetch-misses                                         
  1440.017237559     33,454,854,418      LLC-loads                                                     (50.00%)
  1440.017237559      4,161,940,539      LLC-load-misses           #   12.95% of all LL-cache hits     (50.00%)
  1440.017237559     11,824,565,279      LLC-stores                                                    (50.00%)
  1440.017237559      4,605,483,006      LLC-store-misses                                              (50.00%)
  1440.017237559    <not supported>      LLC-prefetch-misses                                         
  1500.017982524     34,347,472,740      LLC-loads                                                     (50.00%)
  1500.017982524      4,208,673,552      LLC-load-misses           #   13.05% of all LL-cache hits     (50.00%)
  1500.017982524     11,695,705,147      LLC-stores                                                    (50.00%)
  1500.017982524      4,529,433,375      LLC-store-misses                                              (50.00%)
  1500.017982524    <not supported>      LLC-prefetch-misses                                         
  1560.018737441     33,821,765,249      LLC-loads                                                     (50.00%)
  1560.018737441      4,167,512,202      LLC-load-misses           #   12.90% of all LL-cache hits     (50.00%)
  1560.018737441     11,743,614,204      LLC-stores                                                    (50.00%)
  1560.018737441      4,533,269,217      LLC-store-misses                                              (50.00%)
  1560.018737441    <not supported>      LLC-prefetch-misses                                         
  1620.019583467     28,866,665,726      LLC-loads                                                     (50.00%)
  1620.019583467      3,799,979,974      LLC-load-misses           #   11.81% of all LL-cache hits     (50.00%)
  1620.019583467     10,114,366,765      LLC-stores                                                    (50.00%)
  1620.019583467      3,927,604,023      LLC-store-misses                                              (50.00%)
  1620.019583467    <not supported>      LLC-prefetch-misses                                         
