Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

03:30:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:31:38 AM  all    9.26    0.00    9.63    0.02    0.00    0.80    0.00    0.00    0.00   80.29
03:32:38 AM  all   10.13    0.00    9.87    0.02    0.00    0.79    0.00    0.00    0.00   79.18
03:33:38 AM  all    9.07    0.00    9.58    0.02    0.00    0.79    0.00    0.00    0.00   80.54
03:34:38 AM  all    8.90    0.00    9.49    0.01    0.00    0.88    0.00    0.00    0.00   80.71
03:35:38 AM  all    8.59    0.00    9.38    0.02    0.00    0.82    0.00    0.00    0.00   81.18
03:36:38 AM  all    9.56    0.00    9.67    0.02    0.00    0.83    0.00    0.00    0.00   79.91
03:37:38 AM  all    8.71    0.00    9.51    0.01    0.00    0.87    0.00    0.00    0.00   80.90
03:38:38 AM  all    8.94    0.00    9.53    0.02    0.00    0.77    0.00    0.00    0.00   80.73
03:39:38 AM  all    8.80    0.00    9.51    0.01    0.00    0.82    0.00    0.00    0.00   80.86
03:40:38 AM  all    8.46    0.00    9.41    0.01    0.00    0.80    0.00    0.00    0.00   81.32
03:41:38 AM  all    8.50    0.00    9.57    0.02    0.00    0.83    0.00    0.00    0.00   81.09
03:42:38 AM  all    9.42    0.00    9.65    0.01    0.00    0.84    0.00    0.00    0.00   80.08
Average:     all    9.03    0.00    9.57    0.02    0.00    0.82    0.00    0.00    0.00   80.57
