time="2023-11-27T14:34:28.849392719-07:00" level=info msg="Reading the endpoints from the file: endpoints.json"
time="2023-11-27T14:49:28.850756794-07:00" level=info msg="Issued / completed requests: 4501, 4501"
time="2023-11-27T14:49:28.85087777-07:00" level=info msg="Real / target RPS: 5.00 / 5"
time="2023-11-27T14:49:28.850899617-07:00" level=info msg="Experiment finished!"
time="2023-11-27T14:49:28.850921714-07:00" level=info msg="The measured latencies are saved in rps5.00_lat.csv"
