# started on Tue Nov 28 11:38:36 2023

#           time             counts unit events
   600.037789770        180,174,653      LLC-load-misses           #   25.39% of all LL-cache hits     (59.99%)
   600.037789770        196,137,317      LLC-stores                                                    (40.00%)
   600.037789770         73,747,707      LLC-store-misses                                              (40.01%)
   600.037789770    <not supported>      LLC-prefetch-misses                                         
   630.040204108     92,907,675,521      instructions                                                  (60.00%)
   630.040204108        700,431,230      LLC-loads                                                     (60.00%)
   630.040204108        180,687,343      LLC-load-misses           #   25.48% of all LL-cache hits     (60.00%)
   630.040204108        193,416,490      LLC-stores                                                    (40.00%)
   630.040204108         74,032,894      LLC-store-misses                                              (40.00%)
   630.040204108    <not supported>      LLC-prefetch-misses                                         
   660.042178299     91,732,332,553      instructions                                                  (60.00%)
   660.042178299        696,460,583      LLC-loads                                                     (60.00%)
   660.042178299        179,809,726      LLC-load-misses           #   25.38% of all LL-cache hits     (60.00%)
   660.042178299        192,456,290      LLC-stores                                                    (40.00%)
   660.042178299         73,024,962      LLC-store-misses                                              (40.00%)
   660.042178299    <not supported>      LLC-prefetch-misses                                         
   690.044121469     93,541,534,176      instructions                                                  (60.00%)
   690.044121469        697,893,908      LLC-loads                                                     (60.00%)
   690.044121469        180,338,277      LLC-load-misses           #   25.47% of all LL-cache hits     (60.00%)
   690.044121469        192,267,875      LLC-stores                                                    (40.00%)
   690.044121469         73,873,818      LLC-store-misses                                              (40.00%)
   690.044121469    <not supported>      LLC-prefetch-misses                                         
   720.046480957     91,792,365,299      instructions                                                  (60.00%)
   720.046480957        689,322,307      LLC-loads                                                     (60.00%)
   720.046480957        175,969,505      LLC-load-misses           #   24.88% of all LL-cache hits     (60.00%)
   720.046480957        192,014,670      LLC-stores                                                    (40.00%)
   720.046480957         72,498,586      LLC-store-misses                                              (40.00%)
   720.046480957    <not supported>      LLC-prefetch-misses                                         
   750.048072601     94,993,811,198      instructions                                                  (59.99%)
   750.048072601        699,408,861      LLC-loads                                                     (60.00%)
   750.048072601        177,675,164      LLC-load-misses           #   25.14% of all LL-cache hits     (60.00%)
   750.048072601        195,558,321      LLC-stores                                                    (40.00%)
   750.048072601         73,518,318      LLC-store-misses                                              (40.00%)
   750.048072601    <not supported>      LLC-prefetch-misses                                         
   780.050063429     91,579,688,457      instructions                                                  (59.99%)
   780.050063429        688,905,839      LLC-loads                                                     (60.00%)
   780.050063429        175,485,045      LLC-load-misses           #   24.86% of all LL-cache hits     (60.00%)
   780.050063429        192,623,754      LLC-stores                                                    (40.00%)
   780.050063429         71,614,014      LLC-store-misses                                              (40.00%)
   780.050063429    <not supported>      LLC-prefetch-misses                                         
   810.051747021     93,613,919,803      instructions                                                  (59.99%)
   810.051747021        693,631,065      LLC-loads                                                     (60.00%)
   810.051747021        174,306,479      LLC-load-misses           #   24.71% of all LL-cache hits     (60.00%)
   810.051747021        194,567,069      LLC-stores                                                    (40.01%)
   810.051747021         71,353,448      LLC-store-misses                                              (40.00%)
   810.051747021    <not supported>      LLC-prefetch-misses                                         
