Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/29/2024 	_x86_64_	(40 CPU)

02:16:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:17:56 AM  all   17.15    0.00   13.71    0.03    0.00    0.32    0.00    0.00    0.00   68.79
02:18:56 AM  all   53.79    0.00   15.29    0.07    0.00    0.57    0.00    0.00    0.00   30.29
02:19:56 AM  all   57.01    0.00   20.70    0.04    0.00    0.47    0.00    0.00    0.00   21.78
02:20:56 AM  all   61.39    0.00   20.26    0.04    0.00    0.51    0.00    0.00    0.00   17.81
02:21:56 AM  all   54.99    0.00   18.29    0.03    0.00    0.54    0.00    0.00    0.00   26.15
02:22:56 AM  all   47.68    0.00   15.69    0.03    0.00    0.71    0.00    0.00    0.00   35.89
02:23:56 AM  all   50.24    0.00   14.45    0.02    0.00    0.60    0.00    0.00    0.00   34.68
02:24:56 AM  all   58.08    0.00   19.49    0.03    0.00    0.52    0.00    0.00    0.00   21.88
02:25:56 AM  all   55.95    0.00   22.31    0.03    0.00    0.47    0.00    0.00    0.00   21.25
02:26:56 AM  all   55.20    0.00   17.71    0.03    0.00    0.56    0.00    0.00    0.00   26.50
02:27:56 AM  all   47.62    0.00   15.14    0.04    0.00    0.60    0.00    0.00    0.00   36.60
02:28:56 AM  all   47.41    0.00   14.65    0.03    0.00    0.64    0.00    0.00    0.00   37.28
Average:     all   50.55    0.00   17.31    0.04    0.00    0.54    0.00    0.00    0.00   31.57
