Linux 5.4.0-164-generic (node-1.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/30/2024 	_x86_64_	(40 CPU)

03:20:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:21:50 AM  all    9.07    0.00    9.65    0.02    0.00    0.79    0.00    0.00    0.00   80.48
03:22:50 AM  all   10.05    0.00    9.86    0.02    0.00    0.84    0.00    0.00    0.00   79.23
03:23:50 AM  all    8.96    0.00    9.63    0.02    0.00    0.82    0.00    0.00    0.00   80.58
03:24:50 AM  all    8.81    0.00    9.49    0.02    0.00    0.86    0.00    0.00    0.00   80.82
03:25:50 AM  all    8.49    0.00    9.50    0.01    0.00    0.83    0.00    0.00    0.00   81.16
03:26:50 AM  all    9.34    0.00    9.63    0.02    0.00    0.80    0.00    0.00    0.00   80.21
03:27:50 AM  all    8.74    0.00    9.64    0.02    0.00    0.82    0.00    0.00    0.00   80.78
03:28:50 AM  all    8.79    0.00    9.57    0.02    0.00    0.84    0.00    0.00    0.00   80.78
03:29:50 AM  all    8.78    0.00    9.71    0.02    0.00    0.84    0.00    0.00    0.00   80.66
03:30:50 AM  all    8.56    0.00    9.51    0.02    0.00    0.80    0.00    0.00    0.00   81.12
03:31:50 AM  all    8.37    0.00    9.51    0.01    0.00    0.85    0.00    0.00    0.00   81.26
03:32:50 AM  all    9.37    0.00    9.72    0.02    0.00    0.86    0.00    0.00    0.00   80.03
Average:     all    8.94    0.00    9.62    0.02    0.00    0.83    0.00    0.00    0.00   80.59
