Linux 5.4.0-164-generic (node-4.perf-analysis.rperf-pg0.wisc.cloudlab.us) 	05/29/2024 	_x86_64_	(40 CPU)

12:34:59 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:35:59 AM  all   15.25    0.00   11.18    0.04    0.00    0.49    0.00    0.00    0.00   73.04
12:36:59 AM  all   48.55    0.00   13.47    0.08    0.00    0.55    0.00    0.00    0.00   37.36
12:37:59 AM  all   56.19    0.00   19.38    0.04    0.00    0.50    0.00    0.00    0.00   23.89
12:38:59 AM  all   59.67    0.00   20.68    0.03    0.00    0.50    0.00    0.00    0.00   19.12
12:39:59 AM  all   55.13    0.00   17.59    0.02    0.00    0.51    0.00    0.00    0.00   26.75
12:40:59 AM  all   46.13    0.00   14.33    0.04    0.00    0.65    0.00    0.00    0.00   38.84
12:41:59 AM  all   48.45    0.00   12.29    0.03    0.00    0.54    0.00    0.00    0.00   38.69
12:42:59 AM  all   59.10    0.00   18.81    0.03    0.00    0.46    0.00    0.00    0.00   21.60
12:43:59 AM  all   57.59    0.00   22.42    0.02    0.00    0.43    0.00    0.00    0.00   19.54
12:44:59 AM  all   53.63    0.00   17.32    0.04    0.00    0.47    0.00    0.00    0.00   28.54
12:45:59 AM  all   45.24    0.00   13.71    0.03    0.00    0.62    0.00    0.00    0.00   40.40
12:46:59 AM  all   44.34    0.00   12.75    0.04    0.00    0.60    0.00    0.00    0.00   42.27
Average:     all   49.10    0.00   16.16    0.04    0.00    0.53    0.00    0.00    0.00   34.17
